ID,prefix,fwd_to
1,171.64.96.0/23,15
1,171.64.98.0/24,15
1,171.64.99.0/24,15
1,171.64.100.0/23,15
1,171.64.102.0/24,11
1,171.64.103.0/24,11
1,171.64.104.0/24,11
1,171.64.108.0/23,11
1,171.64.110.0/23,11
1,171.64.112.0/23,11
1,171.64.115.0/24,11
1,171.64.116.0/23,11
1,171.64.118.0/24,11
1,171.64.119.0/24,11
1,171.64.120.0/23,11
1,171.64.122.0/23,11
1,171.64.124.0/23,11
1,171.64.126.0/23,11
1,171.64.144.0/24,10
1,171.64.145.0/24,10
1,171.64.146.0/24,10
1,171.64.147.0/25,10
1,171.64.147.128/26,10
1,171.64.147.192/26,10
1,171.64.148.0/22,10
1,171.64.152.0/23,10
1,171.64.154.0/23,10
1,171.64.156.0/24,10
1,171.64.157.0/25,10
1,171.64.157.128/25,10
1,171.64.158.0/24,10
1,171.64.159.0/24,10
1,171.64.160.0/22,11
1,171.64.164.0/23,11
1,171.64.166.0/24,11
1,171.64.167.0/24,11
1,171.64.168.0/21,13
1,171.64.176.0/22,13
1,171.64.180.0/24,13
1,171.64.181.0/25,13
1,171.64.181.128/25,13
1,171.64.182.0/24,13
1,171.64.183.0/24,13
1,171.64.184.0/21,13
1,171.64.192.0/24,13
1,171.64.194.0/23,13
1,171.64.196.0/24,13
1,171.64.197.0/24,13
1,171.64.198.0/23,13
1,171.64.200.0/23,13
1,171.64.202.0/23,13
1,171.64.204.0/24,13
1,171.64.205.0/24,13
1,171.64.206.0/24,13
1,171.64.207.0/25,13
1,171.64.207.128/26,13
1,171.64.208.0/21,13
1,171.64.216.0/24,10
1,171.64.217.0/24,10
1,171.64.218.0/24,10
1,171.64.219.0/25,10
1,171.64.219.128/25,10
1,171.64.220.0/22,10
1,171.64.226.0/23,10
1,171.64.228.0/24,10
1,171.64.229.0/24,10
1,171.64.230.0/24,10
1,171.64.232.0/23,10
1,171.64.234.0/24,10
1,171.64.238.0/23,10
1,171.64.240.0/22,10
1,171.64.244.0/24,10
1,171.64.245.0/24,10
1,171.64.246.0/23,10
1,171.64.248.128/25,12
1,171.64.250.0/25,12
1,171.64.250.224/27,12
1,171.64.251.0/24,12
1,171.64.253.0/24,10
1,171.64.254.0/24,12
1,171.64.255.128/26,11|12|13|15|14|10
1,171.64.255.128/32,11|12|13|15|14|10
1,171.64.255.129/32,11|12|13|15|14|10
1,171.64.255.136/32,11|12|13|15|14|10
1,171.64.255.137/32,11|12|13|15|14|10
1,171.64.255.140/32,11|12|13|15|14|10
1,171.64.255.141/32,11|12|13|15|14|10
1,171.64.255.144/32,11|12|13|15|14|10
1,171.64.255.145/32,11|12|13|15|14|10
1,171.64.255.148/32,11|12|13|15|14|10
1,171.64.255.149/32,11|12|13|15|14|10
1,171.64.255.152/32,11|12|13|15|14|10
1,171.64.255.153/32,11|12|13|15|14|10
1,171.64.255.156/32,11|12|13|15|14|10
1,171.64.255.157/32,11|12|13|15|14|10
1,171.64.255.164/32,11|12|13|15|14|10
1,171.64.255.165/32,11|12|13|15|14|10
